"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l","zv"
"165",165,"CH",8,480,1.152878165,0.464939934,3,8,2,1964,52,2,5,5,13,0,0,35,5131,1,77,2016,-4.11286490282885
"449",449,"CH",8,1149,0.890090764,0.464939934,2,9,1,1941,75,2,5,7,12,0,0,50,2636,2,7,2016,-2.98357822302498
"398",398,"CH",8,1046,0.93108362,0.464939934,2,10,2,1955,61,2,2,2,9,0,0,42,5322,2,1,2016,-2.96074533178979
"816",816,"CH",8,1945,1.17324388,0.464939934,1,8,1,1972,44,1,5,6,18,1,0,42,2412,2,4,2016,-2.92967121268657
"649",649,"CH",8,1568,0.959825993,0.464939934,1,9,2,1946,70,2,3,3,11,0,0,20,5223,2,10,2016,-2.81311403771696
"507",507,"CH",8,1255,0.966035604,0.464939934,2,9,2,1964,52,2,3,3,9,1,0,20,4120,1,8,2016,-2.66096451842739
"687",687,"CH",8,1668,1.032253623,0.464939934,1,10,1,1980,36,1,5,7,25,1,1,50,3221,2,6,2016,-2.49905194985225
"854",854,"CH",8,2030,1.147626638,0.464939934,4,10,2,1987,29,1,3,3,8,1,0,18,9110,2,88,2016,-2.48924948928462
"653",653,"CH",8,1580,0.959825993,0.464939934,4,8,2,1942,74,2,3,4,12,0,0,888,7311,2,1,2016,-2.46700169589385
"133",133,"CH",8,398,0.890090764,0.464939934,2,7,1,1944,72,2,5,6,12,1,0,60,1411,2,8,2016,-2.43664063533474
"428",428,"CH",8,1102,1.140466452,0.464939934,2,9,2,1962,54,2,3,3,8,1,0,49,3311,2,4,2016,-2.4149536227201
"1152",1152,"CH",8,2666,1.001342416,0.464939934,3,7,1,1964,52,1,2,2,8,1,0,45,9310,1,3,2016,-2.39378791412832
"78",78,"CH",8,221,1.090924263,0.464939934,2,10,2,1945,71,2,3,3,9,0,0,50,5221,2,2,2016,-2.37180805939823
"498",498,"CH",8,1237,1.210716963,0.464939934,1,10,2,1959,57,2,2,2,11,1,0,48,1420,2,7,2016,-2.3180046280983
"1002",1002,"CH",8,2372,0.899520457,0.464939934,2,7,1,1998,18,2,2,2,9,0,0,1,5169,2,4,2016,-2.31364294831933
"245",245,"CH",8,703,0.924070776,0.464939934,1,8,2,1950,66,2,5,5,9,0,0,50,2330,2,5,2016,-2.29983976176805
"1436",1436,"CH",8,3230,1.033508062,0.464939934,3,8,1,1999,17,2,2,2,11,1,1,42,7122,2,4,2016,-2.28140663292412
"1449",1449,"CH",8,3263,1.147626638,0.464939934,2,9,2,1987,30,2,5,7,12,1,0,70,2210,2,8,2017,-2.27409107869419
"853",853,"CH",8,2028,1.302075982,0.464939934,2,9,1,1968,48,1,3,3,12,1,0,55,3355,2,6,2016,-2.26604513780012
"487",487,"CH",8,1214,0.93108362,0.464939934,3,8,2,1948,68,2,2,2,9,0,0,5,7231,2,6,2016,-2.25202596743425
"979",979,"CH",8,2317,1.022381425,0.464939934,2,9,1,1993,23,2,3,3,9,1,0,35,2512,2,8,2016,-2.25035312460627
"104",104,"CH",8,314,0.899777412,0.464939934,4,8,1,1941,75,2,3,3,12,0,0,50,5211,1,2,2016,-2.23556867961886
"539",539,"CH",8,1335,1.210716963,0.464939934,3,6,2,1950,66,1,3,3,11,0,0,0,5131,1,77,2016,-2.22083962433123
"1185",1185,"CH",8,2732,1.003414631,0.464939934,4,8,2,1972,44,1,5,6,17,1,0,21,3354,1,77,2016,-2.1965947338112
"974",974,"CH",8,2307,0.993800044,0.464939934,3,8,1,1969,47,1,2,2,9,1,0,888,1412,2,88,2016,-2.18762718464114
"689",689,"CH",8,1674,1.140466452,0.464939934,2,8,2,1981,35,1,5,7,13,1,0,18,3313,2,7,2016,-2.18446909702925
"575",575,"CH",8,1425,1.102796197,0.464939934,2,8,2,1951,65,2,3,3,9,0,0,4,4223,2,6,2016,-2.1787691654931
"485",485,"CH",8,1211,0.959825993,0.464939934,3,10,2,1951,65,2,5,5,9,1,0,888,5142,2,4,2016,-2.1664756674879
"671",671,"CH",8,1625,0.890090764,0.464939934,2,7,1,1957,59,2,5,7,9,0,0,40,1320,1,2,2016,-2.16193851464088
"910",910,"CH",8,2153,1.140466452,0.464939934,1,10,2,1965,51,1,5,6,14,1,0,30,2330,2,8,2016,-2.16098012652877
"14",14,"CH",8,39,1.001342416,0.464939934,2,7,1,1973,43,2,3,3,13,1,0,50,3123,2,6,2016,-2.14705487284654
"181",181,"CH",8,532,1.032253623,0.464939934,2,9,1,1976,40,2,5,5,9,1,0,45,5320,1,77,2016,-2.10807885714793
"1326",1326,"CH",8,3006,0.959825993,0.464939934,1,8,2,1959,57,2,3,3,12,0,0,32,4120,2,8,2016,-2.08811902471786
"1445",1445,"CH",8,3249,1.147626638,0.464939934,3,7,2,1983,33,2,5,7,19,1,0,50,2421,2,9,2016,-2.07314134547107
"981",981,"CH",8,2324,0.866011918,0.464939934,4,8,1,1996,21,2,3,3,9,1,0,888,7200,2,77,2017,-2.07239017627077
"637",637,"CH",8,1549,1.102796197,0.464939934,2,9,2,1956,60,2,5,7,19,1,0,50,3412,2,9,2016,-2.06013316957022
"266",266,"CH",8,759,0.924070776,0.464939934,2,9,2,1954,62,2,3,3,9,0,0,50,1120,2,8,2016,-2.04377248237034
"597",597,"CH",8,1465,0.924070776,0.464939934,2,9,2,1930,86,2,3,4,14,0,0,42,7530,2,2,2016,-2.02831832570889
"977",977,"CH",8,2312,1.032253623,0.464939934,3,9,1,1974,42,1,5,5,11,1,0,42,7522,2,8,2016,-2.02034057112479
"1176",1176,"CH",8,2717,1.090924263,0.464939934,2,10,2,1957,59,1,2,2,9,0,0,40,4223,1,77,2016,-1.97614061458655
"615",615,"CH",8,1503,0.959825993,0.464939934,2,7,2,1947,69,2,3,3,9,0,0,40,3221,2,3,2016,-1.968229881377
"442",442,"CH",8,1129,1.003414631,0.464939934,3,3,2,1979,37,2,3,3,14,1,0,64,5142,1,3,2016,-1.94704740743697
"325",325,"CH",8,894,0.959825993,0.464939934,4,7,2,1951,65,2,3,3,13,0,0,42,4120,2,3,2016,-1.93617646450644
"270",270,"CH",8,767,1.090924263,0.464939934,3,7,2,1937,79,2,3,3,12,0,0,15,4110,2,3,2016,-1.92800630310239
"1315",1315,"CH",8,2982,0.899777412,0.464939934,3,8,1,1957,59,2,5,7,14,0,0,70,1120,2,10,2016,-1.92679229837737
"1203",1203,"CH",8,2773,1.003414631,0.464939934,3,9,2,1971,45,1,1,1,8,1,0,45,7543,2,88,2016,-1.92137513693812
"1378",1378,"CH",8,3094,0.899520457,0.464939934,2,9,1,2000,16,2,2,2,10,0,1,666,66666,2,5,2016,-1.916614961217
"106",106,"CH",8,319,0.9878304,0.464939934,3,5,1,1937,79,2,3,4,12,0,0,40,2410,2,4,2016,-1.91256802405454
"1138",1138,"CH",8,2632,0.993800044,0.464939934,1,8,1,1970,46,1,3,3,9,1,0,43,3133,2,4,2016,-1.87863958083762
"424",424,"CH",8,1095,0.78312695,0.464939934,1,10,1,1950,66,2,5,5,18,0,0,1,2320,2,7,2016,-1.87725771582022
"1310",1310,"CH",8,2973,0.872584283,0.464939934,2,9,1,1994,22,1,3,3,9,1,0,44,2422,2,7,2016,-1.8617668721429
"1424",1424,"CH",8,3202,1.160116434,0.464939934,3,9,2,1986,30,2,5,7,19,1,0,30,2656,1,6,2016,-1.84364846872175
"657",657,"CH",8,1589,1.090924263,0.464939934,2,10,2,1944,72,2,3,4,14,0,0,40,77777,2,6,2016,-1.83819573261415
"921",921,"CH",8,2182,0.78312695,0.464939934,3,8,1,1959,57,2,3,3,9,1,0,42,3155,2,6,2016,-1.83513676286186
"544",544,"CH",8,1348,1.090924263,0.464939934,3,8,2,1957,59,2,2,2,5,0,0,15,9110,1,2,2016,-1.81172680272782
"465",465,"CH",8,1174,1.140466452,0.464939934,3,7,2,1966,50,2,5,5,13,0,0,41,5320,1,7,2016,-1.7994661853619
"1380",1380,"CH",8,3096,0.973367512,0.464939934,2,4,2,1971,45,1,4,5,9,1,0,10,5131,2,3,2016,-1.79154327401415
"1443",1443,"CH",8,3245,1.032253623,0.464939934,1,5,1,1966,50,2,5,7,18,1,0,40,2500,2,1,2016,-1.78926223915687
"1090",1090,"CH",8,2540,1.17324388,0.464939934,2,6,1,1970,46,1,5,5,9,1,0,45,3000,2,9,2016,-1.78766140298407
"455",455,"CH",8,1158,1.147626638,0.464939934,3,8,2,1988,28,2,3,3,10,1,0,42,5223,1,4,2016,-1.77040976181772
"538",538,"CH",8,1332,1.022381425,0.464939934,4,6,1,1995,21,2,2,2,2,1,0,32,2422,1,88,2016,-1.74798068133715
"421",421,"CH",8,1089,0.890090764,0.464939934,1,10,1,1941,75,2,5,7,18,0,0,55,2636,2,7,2016,-1.73968160058908
"1463",1463,"CH",8,3308,1.152878165,0.464939934,4,8,2,1971,45,2,1,1,6,1,0,42,4321,2,3,2016,-1.73605291561213
"888",888,"CH",8,2094,0.899520457,0.464939934,4,8,1,1998,18,2,2,2,10,0,0,666,66666,2,88,2016,-1.71959377255076
"734",734,"CH",8,1762,1.140466452,0.464939934,2,9,2,1962,54,1,5,6,16,1,0,24,3255,2,6,2016,-1.71664599372906
"100",100,"CH",8,298,0.972100914,0.464939934,3,10,2,1989,27,2,2,2,6,1,0,20,9000,2,88,2016,-1.71303876216479
"395",395,"CH",8,1042,0.872584283,0.464939934,1,8,1,1982,34,2,5,7,13,1,0,50,5222,2,10,2016,-1.7070984730662
"1188",1188,"CH",8,2738,0.78312695,0.464939934,2,9,1,1960,56,1,4,5,17,1,0,45,3119,2,8,2016,-1.68855395943049
"89",89,"CH",8,256,1.022381425,0.464939934,1,6,1,1982,34,2,5,7,17,0,0,10,5132,1,2,2016,-1.66950370407679
"322",322,"CH",8,880,1.140466452,0.464939934,2,8,2,1968,49,2,5,5,17,1,0,36,3344,2,8,2017,-1.66121371035809
"997",997,"CH",8,2362,1.147626638,0.464939934,3,8,2,1995,21,2,3,4,14,0,1,2,2330,2,88,2016,-1.66043589541744
"719",719,"CH",8,1731,0.759676516,0.464939934,1,8,1,1949,67,1,5,7,12,1,0,50,2130,2,6,2016,-1.65773523870081
"458",458,"CH",8,1165,0.75395447,0.464939934,1,9,1,1954,62,2,5,7,21,1,0,50,2355,1,5,2016,-1.64558957326814
"952",952,"CH",8,2247,1.001342416,0.464939934,3,10,1,1970,46,1,3,3,8,1,0,44,7220,2,5,2016,-1.61534938654163
"364",364,"CH",8,973,0.890090764,0.464939934,3,9,1,1931,85,2,5,5,16,0,0,42,1211,2,77,2016,-1.61102704578032
"586",586,"CH",8,1453,0.759676516,0.464939934,2,9,1,1960,56,2,5,6,13,1,0,43,1000,1,7,2016,-1.60202754327
"408",408,"CH",8,1068,0.924070776,0.464939934,2,8,2,1940,76,2,3,3,12,0,0,0,3313,2,3,2016,-1.59599441265599
"157",157,"CH",8,461,1.090924263,0.464939934,3,8,2,1933,83,2,2,2,9,0,0,888,5223,2,88,2016,-1.58706387383686
"683",683,"CH",8,1658,1.090924263,0.464939934,3,9,2,1958,58,1,3,3,9,0,0,20,7231,2,6,2016,-1.58654109016353
"371",371,"CH",8,990,1.102796197,0.464939934,3,10,2,1958,59,2,5,5,13,0,0,90,5131,2,1,2017,-1.58072812923853
"42",42,"CH",8,112,0.959825993,0.464939934,1,10,2,1948,68,2,5,5,9,0,0,45,4110,2,4,2016,-1.57913208269532
"631",631,"CH",8,1536,1.033508062,0.464939934,2,7,1,1983,33,2,5,6,16,1,0,47,1213,2,9,2016,-1.5710924768869
"1472",1472,"CH",8,3326,1.001342416,0.464939934,4,7,1,1971,46,1,3,3,8,1,0,43,7123,2,2,2017,-1.56565275372242
"1025",1025,"CH",8,2418,0.866011918,0.464939934,3,9,1,1993,23,2,3,3,9,1,0,42,4120,1,77,2016,-1.56152271565412
"72",72,"CH",8,201,1.152878165,0.464939934,3,4,2,1965,51,2,3,3,10,0,0,38,5211,1,2,2016,-1.55205664964212
"1067",1067,"CH",8,2485,1.009714603,0.464939934,3,10,2,1985,31,1,2,2,8,0,0,10,9100,2,3,2016,-1.54914609328682
"520",520,"CH",8,1288,0.890090764,0.464939934,1,9,1,1943,74,2,5,5,10,0,0,70,1120,2,6,2017,-1.54431330585838
"8",8,"CH",8,22,0.924070776,0.464939934,3,3,2,1955,61,2,2,2,8,0,0,44,8100,2,77,2016,-1.5244436556994
"727",727,"CH",8,1749,1.003414631,0.464939934,3,9,2,1967,49,1,3,3,13,1,0,17,3310,2,3,2016,-1.5215252205104
"151",151,"CH",8,447,0.979478419,0.464939934,1,9,2,1986,30,2,5,7,12,1,0,35,2610,1,4,2016,-1.52077619764935
"232",232,"CH",8,662,1.102796197,0.464939934,2,9,2,1960,56,1,3,3,9,0,0,48,5321,2,2,2016,-1.51413401919272
"927",927,"CH",8,2197,0.866011918,0.464939934,3,7,1,2000,16,2,2,2,9,1,0,45,7115,2,77,2016,-1.51006136171219
"1059",1059,"CH",8,2474,1.17324388,0.464939934,1,6,1,1975,41,1,5,6,12,1,0,50,2512,2,9,2016,-1.50736878845911
"62",62,"CH",8,168,1.17324388,0.464939934,1,8,1,1965,51,2,3,4,14,1,0,45,8141,2,77,2016,-1.50142928995521
"995",995,"CH",8,2359,0.899777412,0.464939934,2,8,1,1959,57,1,4,5,9,1,0,40,3100,2,7,2016,-1.49972761092855
"682",682,"CH",8,1657,1.140466452,0.464939934,2,7,2,1967,49,1,3,4,13,1,0,45,7412,1,2,2016,-1.49331475641809
"1061",1061,"CH",8,2478,1.003414631,0.464939934,2,8,2,1966,50,1,3,3,19,1,0,17,4313,2,9,2016,-1.49121115337757
"214",214,"CH",8,622,0.959825993,0.464939934,2,10,2,1951,65,2,2,2,9,1,0,25,5223,2,77,2016,-1.48634064321702
"1330",1330,"CH",8,3011,0.866011918,0.464939934,3,10,1,1995,21,2,3,3,10,1,0,42,8131,2,8,2016,-1.47120179255664
